Name,Type,Category,Color,Price,Description,Year,Region,ABV,Images,quantity,pricedate
Suntory Hibiki Japanese Harmony Whisky,Whiskey,Whiskey,,200,"Honeylike sweetness, candied orange peel, white chocolate, with hint of Mizunara (Japanese oak)",2009,Japan,43,https://i.imgur.com/1g2Zt4I.png,1,200
Johnnie Walker Blue Label Scotch Whisky,Whiskey,Scotch,,220,"A rich honey sweetness emerges, accompanied by hints of pepper and dried fruits.",2004,Scotland,40,https://www.bottlebuys.com/images/sites/bottlebuys/labels/johnnie-walker-blue-label-scotch.jpg,1,220
Angel's Envy Cask Strength Bourbon,Whiskey,Bourbon,,500,"Caramel, Sweet Raisins, Cola, Herbal Notes.",2010,Kentucky,64,https://i.imgur.com/eOYXHiO.png,1,500
Pappy Van Winkle's 15 Year Old,Whiskey,Bourbon,,1400,"See a hazy, copper color. Taste a rich, supple entry, leading to a decadent, huge, full-bodied palate with intense caramel, toffee and peppery brown spice flavors. Then, enjoy a finish with an extreme, long, complex, evolving fade of spice and wood notes. Experts deem it a seductive, exotic and virtually flawless bourbon.",,,53,https://i.imgur.com/934HRdy.png,1,1400
Allt-a-Bhainne 2009,Whiskey,Scotch,,80,"Cooked fruit taste with hints of chocolate, wood, and smokey coal.",2009,Scotland,60,https://i.imgur.com/jF5SrUz.png,1,80
"Dalmore, 12 year old",Whiskey,Whiskey,,80,"Dalmore 12 is aged for the first nine years in American white oak ex-bourbon casks, before half is transferred to ex-oloroso sherry casks for the final three years. The result is a whisky with a combination of sweetness and rich, sherried flavours.",2002,Scotland,60,https://i.imgur.com/xlB6rm9.png,1,80
Buchanan’s Scotch Whisky,Whiskey,Scotch,,1400,"Popular in the States as well as Latin America, Buchanan’s 12 Year is noted for its honey toast, spice, and fruit flavors.",2009,Argentina,40,https://i.imgur.com/lGeJZPQ.png,1,1400
Dom Perignon 2004,Champagne,,Red,128,"On the nose, aromas of almond and powdered cocoa develop gradually into white fruit with hints of dried flowers. Classic toasted notes give a rounded finish and denote a fully realized maturity.
On the palate, the wine instantly traces an astoundingly fine line between density and weightlessness. Its precision is extreme, tactile, dark and chiselled. The full taste lingers with the utmost elegance on a sappy, spicy note.",2009,France,12,https://i.imgur.com/xJg4HpQ.png,1,255
French Bergamais,Wine,,Red,155,"A refreshing, lighter red wine with full fruit flavours of cherries and berries. Gamay is the featured grape style. Enjoy young and slightly chilled.",2008,France,13,,1,155
POMMERY CUVÉE LOUISE BRUT MILLESIME,Champagne,,White,130,"Fresh-drinking Champagne dominated by green fruit and citrus flavors. Subtle almond and mineral notes add a savory backbone, and the finish is crisp with a very fine mousse.",2002,France,12,https://www.lilleauxvins.com/51-large_default/champagne-pommery-cuvee-louise-2002.jpg,1,199
Salon Blanc de Blancs Le Mesnil-sur-Oger (1.5 Liter Magnum) 2002,Champagne,,,600,"Salon 2002 is what we French might call 'une belle âme' – a noble soul, the soul of Champagne Salon. Salon 2002 is the very essence of Salon, representing everything Salon has ever stood for. Its self-assurance and power give it the poise of a ballerina. Its mellow golden colour; lively, delicate nose; the palate exploding with flavours of honeyed orange flower, candied citrus fruits and madeleine buns fresh from the oven. On tasting, the wine feels simultaneously rich and restrained, the complexity of the aromas and flavours almost precision-engineered. Salon in heart and soul.",2002,France,12,https://i.imgur.com/AcLMMat.png,1,249
Armand de Brignac Brut Gold (Ace of Spades),Champagne,,,2239,"Pressed from a perfectly balanced blend of Chardonnay, Pinot Noir, and Pinot Meunier wine. This non-vintage Brut Gold is lively and full-bodied with ""subtle brioche accents"" tending to a deliciously creamy texture and a ""long, silky finish.""",2006,France,12,https://i.imgur.com/j2kPrtd.png,1,199
Wine Folly Cabernet Sauvignon,Wine,,Red,155,"It starts with an up-front core of blackberry and dark cherry aromas, followed by suggestions of blueberry, raspberry, cranberry and dried plum. Undertones are of chocolate, almond and exotic spice. Ends with an unmistakable black pepper sensation.",2010,Australia,14,https://i.imgur.com/QRQX7UN.png,1,155
Dom Pérignon Rosé,Champagne,,,11179,"This vintage rosé has floral, orange-peel, and dried-fruit aromas and ""reveals a fullness of texture coupled with a remarkably balanced structure that is both sophisticated and clear-cut"" to the taste.",1998,France,12,https://i.imgur.com/RDVnmoZ.png,1,199
"Penfolds 2013 ""Grange""",Wine,,Red,750,"Opaque black core, dark red rim. An aromatic eruption of soy, hoisin, balsamic reduction coiled around a core of kirsch and fresh raspberry. The propulsion is crammed with tell-tale barrel ferment, V.A. and formic Grange markers – all in balance, all respectful of fruit and oak. And yet, so 'classy' – a brightness, a sheen, a gloss, a raciness -- belying both age and upbringing.",2008,Australia,12,https://i.imgur.com/e9wiu9i.png,1,199
Chateau Valandraud 2015,Wine,,Red,125,"Plenty of toasty oak and extract here. This has immensely concentrated fruits with powerful yet silky tannins. Blackberry and dark-plum aromas dominate the nose with hints of dark chocolate and candied orange. Flavors follow suit amid fluid, muscular tannins that hold long into the finish.",2015,France,13,https://i.imgur.com/C9VqMXb.png,1,125
"Shafer Vineyards 2012 ""Hillside Select""",Wine,Cabernet Sauvignon,Red,225,"The 2012 Hillside Select is a beautiful reflection of both its rugged vineyard site and an ideal vintage. Room-filling, energetic aromas of juicy, dark fruit and white flowers are completed by complex, youthful core-flavors of blackberry, cassis, and black cherry along with delicate herbs, graphite, and smoke. The wine is smooth and balanced as it moves through the mouth. The texture is seamless and light on its feet with classic Stags Leap District tannins that are ripe and ready for aging. There's a lot of lush, vivid pleasure in the bottle now with more to come with a few years in a good cellar.",2012,California,12,https://i.imgur.com/DjWfyaJ.png,1,225
Chateau Smith Haut Lafitte 2015,Wine,Bordeaux,Red,89,"Chateau Smith Haut Lafitte 2015 is a very dark red wine, almost black. The nose expresses a bouquet of black fruits and very freshred fruits. Through swirling, the nose appears more complex with notes of spices, cedar, liquorice associated with notes of violet and a touch of flint stone. The mouth is straightforward, dynamic, powerful, dense, classy. Tannins are concentrated, unctuous and silky. They give the wine great length and beautiful texture. We find again in mouth the crunchy and ripe fruits and an additional spicier dimension with liquorice, citron, clove and a wonderfulfinale of floral and mineral notes.",2015,France,12,https://i.imgur.com/1ZOIBIS.png,1,199
Champagne Krug Clos d'Ambonnay 1995,Champagne,,,3999,"The Clos d'Ambonnay— of which only 250 cases were released — is a Blanc de Noirs made entirely from Pinot Noir. It comes from a southeastern village where ""exposure tends to yield richer, fuller wines.""",1995,France,12,https://i.imgur.com/AiWMZjL.png,1,155
"Louis Roederer 2009 ""Cristal Brut""",Champagne,,,249,"A yellow-gold color with mat and amber tints. Persistent, brilliant, fine and lively bubbles. A subtle bouquet, simultaneously discreet and concentrated. It releases notes of citrus compote and candied apricots and evokes the sweetness of honeysuckle. When aerated, notes of vanilla-edged cocoa bean emerge, with toasted hazelnut, hints of liquorice and even a touch of cinnamon. The palate is structured, energetic and sculpted. An initial dense, ripe and silky sensation is amplified by the discovery of a chalky, cherry freshness, a powdered, almost mentholated brightness. The feeling is delicate and ethereal, a succession of delicious and colorful textures perfectly integrated within the lightness and finesse of the wine... an invitation on a journey of discovery. The bright personality of Cristal then appears, simultaneously pure and sharp, in a finish focused once again on chalk, energy and grain.",2009,France,12,https://i.imgur.com/TM2fFpJ.png,1,198
Chateau Haut Bailly 2015,Wine,Bordeaux,Red,127,"The outstanding weather in 2015 resulted in rich, fruity wines with great balance and excellent structure. Made from very ripe fruit, they have a perfect harmony and a remarkable underlying softness. Powerful Cabernets dominate the blend. Rich, fleshy and dense, they harmonize with the well-structured Merlots. The Petit Verdot is dark and spicy, and bring a touch of complexity to the wine.",2015,France,12,https://i.imgur.com/J9tVjpr.png,1,199
"Shafer Vineyards 2013 ""Hillside Select""",Wine,Cabernet Sauvignon,Red,285,"The 2013 Hillside Select is a rich, expansive wine balanced by liveliness and energetic aromas and flavors. This vintage is a liquid feast of black cherry, dark chocolate, briar fruit, black tea, cola, blackberry, tobacco, and a touch of aromatic herbs. All this abundance comes wrapped in slate minerality while wearing its Stags Leap District tannins with silky ease. This 100% hillside Cabernet Sauvignon but it is sure to offer greater riches with time in your cellar.",2016,California,11,http://shafervineyards.com/images/side-wine-bottle-Hillside-Select.jpg,1,19
Chateau Leoville Poyferre 2015,Wine,Bordeaux,Red,84,"Deep and bright color. Beautiful aromatic complexity dominated by red fruits. Notes of cedar and spiace are revealed unpon aeration. The attack is marked, leading into a fleshy, powerful mid-palate. There is a fine balance between the freshness of the aromas and the density of the tannins. The finish reveals superb aromatic persistence worthy of a great vintage of Leoville Poyferre.",2017,France,12,https://i.imgur.com/WbmmsSK.png,1,22
"Diamond Creek 2016 ""Red Rock Terrace""",Wine,Cabernet Sauvignon,Red,250,"This wine has velvety tannins, rich and well balanced, medium dark ruby color with cherry, mint and black currant flavors.",2016,California,12,https://i.imgur.com/iC6NM7Q.png,1,22
Domaine Leroy Chambertin Grand Cru 1990,Wine,,White,7447,"The estate is a solid brand in the most expensive wine space. A little pricier than its 1949, the the 1990 is harvested from the exclusive Pinot Noir vineyards of Chambertin Grand Cru.",1990,France,13,https://i.imgur.com/sIKA3g9.png,1,32
Domaine Georges & Christophe Roumier Musigny Grand Cru 1990,Wine,Pinot Noir,Red,11270,"Domaine Leroy’s reds are regarded for its deep scent of red cherries, plums, earth and sweet spice. Adding more vintage air to this wine, Napoleon is known to drink Chambertin wine, favoring its rich ruby hue not unlike what you get from the 1990 vintage.",1990,France,14,https://i.imgur.com/s5RSeY8.png,1,29
Domaine Leroy Musigny Grand Cru 2012,Wine,,Red,22652,"The estate is a solid brand in the most expensive wine space. A little pricier than its 1949, the the 2012 is harvested from the exclusive Pinot Noir vineyards of Chambertin Grand Cru.",2012,France,11,https://i.imgur.com/qdRSx6V.png,1,12
"Hall 2013 ""Kathryn Hall""",Wine,Cabernet Sauvignon,Red,165,"Inky garnet in color, the Kathryn Hall Cabernet Sauvignon exudes warmth and allure. Effusive aromas of ripe dark cherry , spiced chocolate , dusty earth and raspberry compote spill from the glass. The entry is voluptuous, supple, and opulent, while the mid-palate features enticingly decadent dark fruit and lengthy, sweet tannins, almost defying the boundaries of richness.",2013,California,15,https://i.imgur.com/0Jb9I5U.png,1,22
"Leonetti Cellar 2015 ""Reserve""",Wine,Red blend,Red,150,"This blend of 63% Cabernet Sauvignon, 29% Malbec and 8% Merlot comes from Loess, Mill Creek Upland and Seven Hills vineyards. Its aromas are still locked up, offering incense, barrel spice, cherry, raspberry, anise and scorched earth notes as it opens. The palate is packed to the brim with black fruit flavors and tightly wound tannins, maintaining its sophistication long into the finish. It needs time to come into its own but has a very long life ahead of it.",2015,California,13,https://i.imgur.com/85APq7i.png,1,16
"Louis Martini 2013 ""Lot #1""",Wine,Cabernet Sauvignon,Red,145,"Integrated tannins provide structure without distraction, while layers of red berry, currant and leather combine for a dry, ripe and rewarding mouthfeel. This should be best between 2023 and 2025.",2013,California,14,https://i.imgur.com/PokROMj.png,1,17
"Joseph Phelps 2015 ""Insignia""",Wine,Red blend,Red,279,"The 2015 Insignia is densely hued with rich dark fruit, cocoa powder and fragrant dried flower notes. Velvety texture and weight on the palate with layers of juicy black plum, Madagascar vanilla and bergamot. Bold, creamy and supple with integrated tannin structure and a lengthy finish.",2015,Italy,13,https://i.imgur.com/E6fthPK.png,1,34
"Robert Mondavi 2014 ""Reserve To Kalon""",Wine,Cabernet Sauvignon,Red,173,"The complexity, power, and sophistication of fruit from the To Kalon site is on full display in this vineyard-designated Reserve, with sweet dark cherry and richly concentrated blackberry fruits; a savory, earthy complexity; and toasty oak, vanilla, and spice which linger through the luxuriously long finish.",2014,California,13,https://i.imgur.com/E6fthPK.png,1,34
"Dr Loosen 2013 ""Urziger Wurzgarten GG Reserve""",Wine,Riesling,White,95,"This beautiful pale straw colored dry Riesling from Dr. Loosen opens with a faint bee's wax and light pear bouquet with a hint of lime. On the palate, this wine is light bodied, slightly acidic and refreshing. The flavor profile is a delicious mineral infused Anjou pear with hints of green tea. I also picked up a touch of grapefruit towards the end. The finish is dry and pleasantly refreshing.",2013,Germany,12,https://i.imgur.com/kGjdfCT.png,1,22
"Blackbird Vineyards 2015 ""Paramour""",Wine,Cabernet Franc,Red,144,"This opaque and red ruby colored Cabernet Franc based blend showed really-well in our Big Blind tasting. It opens with a pleasant black raspberry bouquet with hints of cedar, menthol, light leather and touch of heat. On the palate, this wine is full bodied, balanced and savory. The flavor profile is a tasty black plum, black raspberry and black cherry blend with notes of oak, minerality, and cinnamon. The finish is dry and its dusty tannins show very nice length.",2015,California,14,https://i.imgur.com/yVg4T0z.png,1,25
"Robert Mondavi 2014 ""Reserve To Kalon""",Wine,Cabernet Sauvignon,Red,173,"The complexity, power, and sophistication of fruit from the To Kalon site is on full display in this vineyard-designated Reserve, with sweet dark cherry and richly concentrated blackberry fruits; a savory, earthy complexity; and toasty oak, vanilla, and spice which linger through the luxuriously long finish.",2016,Argentina,12,https://img.thewhiskyexchange.com/900/wine_alt2016.jpg,1,14
"La Jota 2014 ""W.S. Keyes""",Wine,Merlot,Red,150,"This captivating wine is deep and rich, yielding aromas of anise, blackberry, and a touch of sage. It is uncommonly smooth and well balanced, with richly textured tannins and flavors of blueberry and mocha toast. La Jota’s signature line of bright minerality runs the length of this long, satisfying wine.",2014,California,13,https://img.thewhiskyexchange.com/900/wine_and2017.jpg,1,14
"Ramey 2015 ""Rochioli Vineyard""",Wine,Chardonnay,White,85,"More crystalline, salty, and toasty, with beautiful orchard fruits, this rockstar effort tastes like a great Montrachet. With full body, beautiful concentration, vibrant acidity, and a great, great finish, drink it anytime over the coming 10-15 years",2017,California,13,https://img.thewhiskyexchange.com/900/wine_ani2017v1.jpg,1,16
"Leeuwin Estate 2013 ""Art Series""",Wine,Chardonnay,White,65,"A dark and dense nose of blue and blackberries dominate the nose, complemented by a lifted and fragrant aromatic profile. Perfumed violets amongst black cardamom, olive, anise, cloves, and bay leaf provide subtle and classical layers. The palate has concentration, depth, and poise set with a blackberry, cherry and mulberry fruit spectrum. Layers and contours unfold into cassia, cocoa and coffee beans through the mid-palate. There is a vibrancy and seamless structure given a finely laced acid line and gravelly tannins.",2013,Australia,14,https://i.imgur.com/vgoEKWz.png,1,16
Blanton's,Whiskey,Bourbon,,299,"A deep, satisfying nose of nutmeg and spices. Powerful dry vanilla notes in harmony with hints of honey amid strong caramel and corn. A medium finish composed of returning corn and nutmeg flavors.",2016,US,55,https://products1.imgix.drizly.com/ci-blantons-single-barrel-bourbon-f27c3cae7eeaa8b9.png?auto=format%2Ccompress&fm=jpeg&q=20,1,25
dewar's Scotch,Whiskey,Scotch,,68,"A little while ago, we were approached by Dewar’s Scotch Whisky asking whether we would be interested in writing about their product in a sponsored post. Considering our fondness for Scotch, and Dewar’s presence as the number one selling Scotch in the US, I accepted the proposal contingent upon a personal review of their products, and they happily obliged.",2007,US,450,https://static.vinepair.com/wp-content/uploads/2018/08/PopularWhiskey_Internal_Dewars.png,1,68
Eagle Rare 17 Year,Whiskey,Bourbon,,1499,"""THIS DEEP, BURNISHED-GOLD WHISKEY HAS A SOMEWHAT FRAGRANT NOSE AND THE AROMAS DEVELOP AN ALMOST WINE-LIKE CHARACTER, WITH A HINT OF ALMONDS LURKING IN THE BACKDROP. THE BODY IS BIG AND SILKY AND THE PALATE IS FAR SPICIER THAN THE NOSE LEADS YOU TO BELIEVE, BUT THERE ARE ALSO VIOLET NOTES HERE, ALONG WITH A TOUCH OF CARAMEL AND A HINT OF OLD LEATHER. THE FINISH IS VERY LEATHERY AND VERY LONG.""",2018,Kentucky,50,https://cdn.shopify.com/s/files/1/0566/6837/products/Eagle_17_grande.png?v=1445874097,1,15
"WhistlePig The Boss Hog V ""The Spirit of Mauve"" Straight Rye Whiskey",Whiskey,Scotch,,549,"Like all four previous editions of The Boss Hog, The Spirit of Mauve is a single barrel whiskey, bottled at barrel proof. But this fifth edition is a 13-year straight rye, finished in Calvados apple brandy",2014,Canada,59,https://cdn.shopify.com/s/files/1/0050/2395/7103/products/BHV_BottleImage_TransparentArtboard-1_360x.png?v=1541812092,1,35
Wild Turkey Master's Keep Decades,Whiskey,Bourbon,,129,"On the nose is an elegant balance of leather, tobacco, cedar, toasted marshmallow, a hint of grassy rye, and white pepper aromas. The palate is just as refined with nuanced notes of smoky oak, stewed fruits like apple, peach and cherry. Not overpoweringly sweet, with a silky mouthfeel, and a smooth finish.",,Kentucky,52,https://www.lcbo.com/content/dam/lcbo/products/491811.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,1,25
Old Weller Antique 107 Original Wheated Straight Bourbon Whiskey,Whiskey,Bourbon,,199,"It has a medium-amber hue, with an aroma of creamy vanilla and roasted nuts. Full-bodied, the bourbon has notes of honeyed fruits, vanilla and caramel that lead to a long and slightly spicy finish.",,Kentucky,53,http://kegnbottle.com/pub/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/o/l/old_weller_antque.jpg,1,9
Four Roses 130th Anniversary Limited Edition Small Batch Barrel Strength,Whiskey,Bourbon,,300,"Bottled at barrel strength, the remarkably balanced 130th Anniversary Limited Edition Small Batch introduces warm aromas of rich vanilla and crème brûlée, mingled with ripe berries. Bright apricot flavors greet the palate, then give way to hints of mint, cinnamon, apple and mellow oak. The finish is very long, with notes of more fruit, vanilla and cinnamon.",2014,Kentucky,54,https://cdn.shopify.com/s/files/1/1580/4729/products/Screen_Shot_2018-11-27_at_12.11.13_PM_2048x2048.png?v=1543349501,1,35
Blood Oath Pact No. 4,Whiskey,Bourbon,,300,"Blood Oath Pact 4 is a masterful union of three well-bred bourbons. The first, an extra-aged-12-year-old bourbon. The second, a rich 10-year-old-bourbon. The third, a 9-year-old bourbon finished in toasted barrels.",2008,Kentucky,47,https://cdn.caskers.com/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/b/l/blood-oath-pact-4-1.jpg,1,26
Parker's Heritage Collection: 11 Year Single Barrel,Whiskey,Bourbon,,200,,2017,US,61,https://img.thewhiskyexchange.com/900/blend_joh2.jpg,1,33
Maker’s Mark Bill Samuels Private Select,Whiskey,Scotch,,100,"Charred oak and a healthy dose of spice hit first. They’re followed by chocolate, as the bourbon coats the insides of my mouth. As it lingers, there’s a trace of dark fruit, but it’s hidden well behind the initial flavors. It’s very good overall, and at 96 proof the intensity of the flavors is just about right, though there’s a part of me that wants a bit more.",2017,Kentucky,61,https://img.thewhiskyexchange.com/900/blend_joh222.jpg,1,35
Crown Royal,Whiskey,Scotch,,40,"Crown Royal Deluxe is the standard of excellence for Canadian whisky. It is an extraordinary blend of 50 full-bodied Canadian whiskies, matured to perfection.",2017,Canada,50,https://spiritedgifts.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/0000001842_1.jpg,1,40
Old Forester Birthday Bourbon 2017,Whiskey,Bourbon,,300,"Charred oak and a healthy dose of spice hit first. They’re followed by chocolate, as the bourbon coats the insides of my mouth. As it lingers, there’s a trace of dark fruit, but it’s hidden well behind the initial flavors. It’s very good overall, and at 96 proof the intensity of the flavors is just about right, though there’s a part of me that wants a bit more.",2017,Kentucky,50,https://static.oldforester.com/app/uploads/2017/08/10140418/bb2017_full1.png,1,19
